KYC Check 02 (Know Your Classmates)
Please click on the face of: Chris
Response,Via,Screen name,Registered participant,Correct?,Created At
"Click (outside defined region): 55.36%, 86.62%",Activated Multi-Page Survey,guest7,"",No,2026-08-05 15:52:59
Chris,Activated Multi-Page Survey,Facecard,"",Yes,2026-08-05 15:52:59
Chris,Activated Multi-Page Survey,b,"",Yes,2026-08-05 15:53:00
Chris,Activated Multi-Page Survey,eljaja,"",Yes,2026-08-05 15:53:01
Chris,Activated Multi-Page Survey,Larp,"",Yes,2026-08-05 15:53:03
Chris,Activated Multi-Page Survey,Sl,"",Yes,2026-08-05 15:53:04
Bennett,Activated Multi-Page Survey,Guest123,"",No,2026-08-05 15:53:04
Chris,Activated Multi-Page Survey,Capital Market Maker,"",Yes,2026-08-05 15:53:06
"Click (outside defined region): 58.9%, 87.49%",Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-05 15:53:06
Chris,Activated Multi-Page Survey,hellopanda,"",Yes,2026-08-05 15:53:06
Chris,Activated Multi-Page Survey,c,"",Yes,2026-08-05 15:53:06
"Click (outside defined region): 26.28%, 81.18%",Activated Multi-Page Survey,guest702,"",No,2026-08-05 15:53:07
Chris,Activated Multi-Page Survey,Tesellation,"",Yes,2026-08-05 15:53:07
Chris,Activated Multi-Page Survey,Distressed Debt ,"",Yes,2026-08-05 15:53:08
Chris,Activated Multi-Page Survey,222,"",Yes,2026-08-05 15:53:08
"Click (outside defined region): 26.88%, 79.03%",Activated Multi-Page Survey,NY Resident,"",No,2026-08-05 15:53:09
"Click (outside defined region): 43.62%, 77.55%",Activated Multi-Page Survey,Responder123,"",No,2026-08-05 15:53:10
Chris,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-05 15:53:10
Chris,Activated Multi-Page Survey,Juice,"",Yes,2026-08-05 15:53:11
"Click (outside defined region): 52.55%, 86.17%",Activated Multi-Page Survey,guest838,"",No,2026-08-05 15:53:13
