KYC Check 03 (Know Your Classmates)
Please click on the face of: Aryan
Response,Via,Screen name,Registered participant,Correct?,Created At
"Click (outside defined region): 11.01%, 82.45%",Activated Multi-Page Survey,222,"",No,2026-08-06 13:23:35
"Click (outside defined region): 52.81%, 28.57%",Activated Multi-Page Survey,guest838,"",No,2026-08-06 13:23:36
Aryan,Activated Multi-Page Survey,Juice,"",Yes,2026-08-06 13:23:39
"Click (outside defined region): 14.41%, 79.85%",Activated Multi-Page Survey,Sl,"",No,2026-08-06 13:23:49
Aryan,Activated Multi-Page Survey,Larp,"",Yes,2026-08-06 13:23:59
Aarush,Activated Multi-Page Survey,fencer,"",No,2026-08-06 13:23:59
Brandon,Activated Multi-Page Survey,guest222,"",No,2026-08-06 13:24:00
"Click (outside defined region): 50.26%, 29.78%",Activated Multi-Page Survey,c,"",No,2026-08-06 13:24:00
"Click (outside defined region): 93.72%, 41.42%",Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-06 13:24:02
"Click (outside defined region): 12.46%, 76.78%",Activated Multi-Page Survey,LG,"",No,2026-08-06 13:24:03
Aarush,Activated Multi-Page Survey,ishita,"",No,2026-08-06 13:24:04
"Click (outside defined region): 57.63%, 29.13%",Activated Multi-Page Survey,Romeo,"",No,2026-08-06 13:24:07
"Click (outside defined region): 57.79%, 29.56%",Activated Multi-Page Survey,NY Resident,"",No,2026-08-06 13:24:12
"Click (outside defined region): 51.05%, 29.78%",Activated Multi-Page Survey,guest956,"",No,2026-08-06 13:24:13
"Click (outside defined region): 49.49%, 33.56%",Activated Multi-Page Survey,d,"",No,2026-08-06 13:24:17
"Click (outside defined region): 60.29%, 35.56%",Activated Multi-Page Survey,Juliet,"",No,2026-08-06 13:24:19
Aarush,Activated Multi-Page Survey,tiramisu,"",No,2026-08-06 13:24:21
"Click (outside defined region): 54.8%, 33.15%",Activated Multi-Page Survey,Corp banker 1,"",No,2026-08-06 13:24:21
"Click (outside defined region): 47.76%, 32.23%",Activated Multi-Page Survey,Jason,"",No,2026-08-06 13:24:24
Brandon,Activated Multi-Page Survey,L,"",No,2026-08-06 13:24:26
Aryan,Activated Multi-Page Survey,Bot,"",Yes,2026-08-06 13:24:28
Aarush,Activated Multi-Page Survey,guest366,"",No,2026-08-06 13:24:36
"Click (outside defined region): 56.21%, 31.64%",Activated Multi-Page Survey,avatarbond,"",No,2026-08-06 13:24:37
"Click (outside defined region): 51.05%, 33.22%",Activated Multi-Page Survey,b,"",No,2026-08-06 13:24:46
Brandon,Activated Multi-Page Survey,BK,"",No,2026-08-06 13:24:46
Aarush,Activated Multi-Page Survey,millyrock,"",No,2026-08-06 13:24:48
"Click (outside defined region): 52.05%, 31.71%",Activated Multi-Page Survey,eljaja,"",No,2026-08-06 13:24:50
"Click (outside defined region): 54.47%, 29.46%",Activated Multi-Page Survey,will,"",No,2026-08-06 13:24:51
"Click (outside defined region): 51.48%, 28.61%",Activated Multi-Page Survey,Dylan,"",No,2026-08-06 13:24:59
Brandon,Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:00
Aarush,Activated Multi-Page Survey,Tesellation,"",No,2026-08-06 13:25:05
"Click (outside defined region): 48.98%, 33.11%",Activated Multi-Page Survey,Corporate Banker 2,"",No,2026-08-06 13:25:05
"Click (outside defined region): 52.81%, 32.2%",Activated Multi-Page Survey,guest702,"",No,2026-08-06 13:25:05
"Click (outside defined region): 56.81%, 30.4%",Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:13
Aarush,Activated Multi-Page Survey,S,"",No,2026-08-06 13:25:16
"Click (outside defined region): 47.54%, 28.86%",Activated Multi-Page Survey,Distressed debt ,"",No,2026-08-06 13:25:22
"Click (outside defined region): 53.11%, 35.15%",Activated Multi-Page Survey,CorpBanker67,"",No,2026-08-06 13:25:26
Aryan,Activated Multi-Page Survey,guest410,"",Yes,2026-08-06 13:25:35
"Click (outside defined region): 45.92%, 31.29%",Activated Multi-Page Survey,Responder123,"",No,2026-08-06 13:26:03
Brandon,Activated Multi-Page Survey,B,"",No,2026-08-06 13:26:12
""
Please click on the face of: Yu Qian
Response,Via,Screen name,Registered participant,Correct?,Created At
"Click (outside defined region): 5.8%, 36.59%",Activated Multi-Page Survey,222,"",No,2026-08-06 13:23:42
Yu Qian,Activated Multi-Page Survey,Bot,"",Yes,2026-08-06 13:23:53
"Click (outside defined region): 9.6%, 35.15%",Activated Multi-Page Survey,Sl,"",No,2026-08-06 13:23:55
Yu Qian,Activated Multi-Page Survey,Juice,"",Yes,2026-08-06 13:23:57
Yu Qian,Activated Multi-Page Survey,guest838,"",Yes,2026-08-06 13:24:04
Yu Qian,Activated Multi-Page Survey,Larp,"",Yes,2026-08-06 13:24:05
"Click (outside defined region): 28.7%, 46.89%",Activated Multi-Page Survey,guest222,"",No,2026-08-06 13:24:06
Michael,Activated Multi-Page Survey,fencer,"",No,2026-08-06 13:24:09
Yu Qian,Activated Multi-Page Survey,c,"",Yes,2026-08-06 13:24:11
Brandon,Activated Multi-Page Survey,LevFin4Life,"",No,2026-08-06 13:24:12
"Click (outside defined region): 26.55%, 33.65%",Activated Multi-Page Survey,Romeo,"",No,2026-08-06 13:24:16
"Click (outside defined region): 23.45%, 73.82%",Activated Multi-Page Survey,ishita,"",No,2026-08-06 13:24:16
Yu Qian,Activated Multi-Page Survey,NY Resident,"",Yes,2026-08-06 13:24:22
"Click (outside defined region): 24.06%, 37.1%",Activated Multi-Page Survey,LG,"",No,2026-08-06 13:24:27
"Click (outside defined region): 22.9%, 31.43%",Activated Multi-Page Survey,Juliet,"",No,2026-08-06 13:24:28
"Click (outside defined region): 24.94%, 32.86%",Activated Multi-Page Survey,Jason,"",No,2026-08-06 13:24:30
Yu Qian,Activated Multi-Page Survey,guest956,"",Yes,2026-08-06 13:24:30
"Click (outside defined region): 14.29%, 38.1%",Activated Multi-Page Survey,d,"",No,2026-08-06 13:24:35
"Click (outside defined region): 26.67%, 32.98%",Activated Multi-Page Survey,L,"",No,2026-08-06 13:24:37
"Click (outside defined region): 8.47%, 39.17%",Activated Multi-Page Survey,tiramisu,"",No,2026-08-06 13:24:39
"Click (outside defined region): 20.25%, 24.21%",Activated Multi-Page Survey,guest410,"",No,2026-08-06 13:24:44
"Click (outside defined region): 53.8%, 77.97%",Activated Multi-Page Survey,guest366,"",No,2026-08-06 13:24:44
"Click (outside defined region): 19.77%, 34.65%",Activated Multi-Page Survey,avatarbond,"",No,2026-08-06 13:24:49
Yu Qian,Activated Multi-Page Survey,b,"",Yes,2026-08-06 13:24:55
"Click (outside defined region): 11.26%, 34.44%",Activated Multi-Page Survey,BK,"",No,2026-08-06 13:24:56
"Click (outside defined region): 22.51%, 23.91%",Activated Multi-Page Survey,eljaja,"",No,2026-08-06 13:24:58
Michael,Activated Multi-Page Survey,millyrock,"",No,2026-08-06 13:25:07
Yu Qian,Activated Multi-Page Survey,will,"",Yes,2026-08-06 13:25:11
"Click (outside defined region): 23.92%, 40.94%",Activated Multi-Page Survey,Dylan,"",No,2026-08-06 13:25:11
"Click (outside defined region): 22.9%, 37.62%",Activated Multi-Page Survey,Sky,"",No,2026-08-06 13:25:18
"Click (outside defined region): 57.97%, 37.1%",Activated Multi-Page Survey,S,"",No,2026-08-06 13:25:20
Yu Qian,Activated Multi-Page Survey,Corporate Banker 2,"",Yes,2026-08-06 13:25:20
Yu Qian,Activated Multi-Page Survey,guest702,"",Yes,2026-08-06 13:25:21
Lauren,Activated Multi-Page Survey,Tesellation,"",No,2026-08-06 13:25:35
Michael,Activated Multi-Page Survey,CorpBanker67,"",No,2026-08-06 13:25:38
Yu Qian,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-06 13:25:53
Yu Qian,Activated Multi-Page Survey,Sky,"",Yes,2026-08-06 13:25:55
"Click (outside defined region): 13.78%, 34.01%",Activated Multi-Page Survey,Responder123,"",No,2026-08-06 13:26:18
Yu Qian,Activated Multi-Page Survey,B,"",Yes,2026-08-06 13:26:27
"Click (outside defined region): 11.86%, 35.15%",Activated Multi-Page Survey,Corp banker 1,"",No,2026-08-06 13:27:22
""
Please click on the face of: Gary
Response,Via,Screen name,Registered participant,Correct?,Created At
Gary,Activated Multi-Page Survey,222,"",Yes,2026-08-06 13:23:47
"Click (outside defined region): 50.56%, 79.35%",Activated Multi-Page Survey,Sl,"",No,2026-08-06 13:23:59
