KYC Check 04 (Know Your Classmates)
Please click on the PANEL of: Dylan
Response,Via,Screen name,Registered participant,Correct?,Created At
Dylan,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-07 14:11:22
Dylan,Activated Multi-Page Survey,Larp,"",Yes,2026-08-07 14:11:28
Gary,Activated Multi-Page Survey,Tesellation,"",No,2026-08-07 14:11:29
Don Jordan,Activated Multi-Page Survey,Ayyyy,"",No,2026-08-07 14:11:48
Dylan,Activated Multi-Page Survey,guest410,"",Yes,2026-08-07 14:11:49
Brandon,Activated Multi-Page Survey,Juice,"",No,2026-08-07 14:11:50
Dylan,Activated Multi-Page Survey,NY Resident,"",Yes,2026-08-07 14:11:51
Brandon,Activated Multi-Page Survey,Corporate Banker 2,"",No,2026-08-07 14:11:51
Brandon,Activated Multi-Page Survey,M,"",No,2026-08-07 14:11:53
Brandon,Activated Multi-Page Survey,L,"",No,2026-08-07 14:11:53
Dylan,Activated Multi-Page Survey,222,"",Yes,2026-08-07 14:11:54
Dylan,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-07 14:11:54
Brandon,Activated Multi-Page Survey,guest702,"",No,2026-08-07 14:11:57
Gary,Activated Multi-Page Survey,B,"",No,2026-08-07 14:11:58
Dylan,Activated Multi-Page Survey,Sl,"",Yes,2026-08-07 14:11:59
Dylan,Activated Multi-Page Survey,dubai chocolate,"",Yes,2026-08-07 14:12:16
Dylan,Activated Multi-Page Survey,Sky,"",Yes,2026-08-07 14:12:18
Brandon,Activated Multi-Page Survey,Juliet,"",No,2026-08-07 14:12:20
Brandon,Activated Multi-Page Survey,Corp banker 1,"",No,2026-08-07 14:12:25
Dylan,Activated Multi-Page Survey,Dylan,"",Yes,2026-08-07 14:12:26
Brandon,Activated Multi-Page Survey,Responder123,"",No,2026-08-07 14:12:26
Don Jordan,Activated Multi-Page Survey,c,"",No,2026-08-07 14:12:29
Dylan,Activated Multi-Page Survey,eljaja,"",Yes,2026-08-07 14:12:31
Dylan,Activated Multi-Page Survey,millyrock,"",Yes,2026-08-07 14:12:37
Don Jordan,Activated Multi-Page Survey,guest248,"",No,2026-08-07 14:12:49
Dylan,Activated Multi-Page Survey,Pea eater,"",Yes,2026-08-07 14:13:06
Dylan,Activated Multi-Page Survey,will,"",Yes,2026-08-07 14:13:40
Gary,Activated Multi-Page Survey,Romeo,"",No,2026-08-07 14:14:15
""
Please click on the PANEL of: Akshath
Response,Via,Screen name,Registered participant,Correct?,Created At
Akshath,Activated Multi-Page Survey,CorpBanker67,"",Yes,2026-08-07 14:11:29
Akshath,Activated Multi-Page Survey,Larp,"",Yes,2026-08-07 14:11:34
Akshath,Activated Multi-Page Survey,Tesellation,"",Yes,2026-08-07 14:11:42
Akshath,Activated Multi-Page Survey,guest410,"",Yes,2026-08-07 14:11:54
Akshath,Activated Multi-Page Survey,Corporate Banker 2,"",Yes,2026-08-07 14:11:59
Akshath,Activated Multi-Page Survey,222,"",Yes,2026-08-07 14:11:59
Akshath,Activated Multi-Page Survey,Ayyyy,"",Yes,2026-08-07 14:12:00
Akshath,Activated Multi-Page Survey,Distressed debt ,"",Yes,2026-08-07 14:12:01
Jailyne,Activated Multi-Page Survey,L,"",No,2026-08-07 14:12:02
Akshath,Activated Multi-Page Survey,guest702,"",Yes,2026-08-07 14:12:03
Akshath,Activated Multi-Page Survey,Sl,"",Yes,2026-08-07 14:12:03
Akshath,Activated Multi-Page Survey,M,"",Yes,2026-08-07 14:12:04
Akshath,Activated Multi-Page Survey,NY Resident,"",Yes,2026-08-07 14:12:07
Akshath,Activated Multi-Page Survey,B,"",Yes,2026-08-07 14:12:21
